 ,'(',')','*','+',"','",'-',':',':=',';','<','<=','<>','=','>','>=','and','call','do','else','goto','if','not','or','then','while','{','}',CNAME,$end,a,b_and,b_comparison,b_expr,b_not,e_list,expression,factor,id,l,label,m,n,negative,open_stmt,relop,s,start,stmt,term
41,,,,,,,,,,,,,,,,,r21,,,r21,r21,,,,r21,r21,,r21,,,,,,,,,,,,,64,,,,,,,,
42,s36,,,,,s30,,,,,,,,,,,,,,,,,,,,,,s13,,,,,,,,65,25,26,,,,,27,,,,,,28
43,s36,,,,,,,,,,,,,,,,,,,,,,,,,,,s13,,,,,,,,,25,26,,,,,,,,,,,66
44,r29,,,,,r29,,,,,,,,,,,,,,,,,,,,,,r29,,,,,,,,,,,,,,,,,,,,,
45,r30,,,,,r30,,,,,,,,,,,,,,,,,,,,,,r30,,,,,,,,,,,,,,,,,,,,,
46,r28,,,,,r28,,,,,,,,,,,,,,,,,,,,,,r28,,,,,,,,,,,,,,,,,,,,,
47,r27,,,,,r27,,,,,,,,,,,,,,,,,,,,,,r27,,,,,,,,,,,,,,,,,,,,,
48,r31,,,,,r31,,,,,,,,,,,,,,,,,,,,,,r31,,,,,,,,,,,,,,,,,,,,,
49,r32,,,,,r32,,,,,,,,,,,,,,,,,,,,,,r32,,,,,,,,,,,,,,,,,,,,,
50,s36,,,,,,,,,,,,,,,,,,,,,,,,,,,s13,,,,,,,,,67,26,,,,,,,,,,,
51,,s68,,,,,,,,,,,,,,,,,,,,,s40,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,"s69",,s43,,,,,,s44,s45,s46,s47,s48,s49,r5,,,,,,,r5,,,,,,,,,,,,,,,,,,,,,,42,,,,
53,,r24,s50,r24,r24,,,,r24,r24,r24,r24,r24,r24,r24,r24,,r24,r24,,,,r24,r24,,,r24,,r24,,,,,,,,,,,,,,,,,,,,
54,,r10,,,,,,,,,,,,,,r10,,r10,,,,,r10,r10,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,s70,,,,,s40,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,r21,,,r21,r21,,,,r21,r21,,r21,,,,,,,,,,,,,71,,,,,,,,
57,,,,,,,,,r35,,,,,,,,,,r35,,,,,,,,r35,,r35,,,,,,,,,,,,,,,,,,,,
58,,s69,,s43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,r21,,,r21,r21,,,,r21,r21,,r21,,,,,,,,,,,,,72,,,,,,,,
60,,s73,,,s74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,r11,,s43,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,s29,,,,,s30,,,,,,,,,,,,,,,,s31,,,,,,s13,,,,21,,75,,24,25,26,,,,,27,,,,,,28
63,s29,,,,,s30,,,,,,,,,,,,,,,,s31,,,,,,s13,,,76,21,,23,,24,25,26,,,,,27,,,,,,28
64,,,,,,,,,,,,,,,,,s8,,,s9,s10,,,,s11,s12,,s13,,1,,,,,,,,2,,3,,,,4,,77,,78,
65,,r4,,s43,,,,,,,,,,,,r4,,r4,,,,,r4,r4,,,,,,,,,,,,,,,,,,,,,,,,,
66,,r14,s50,r14,r14,,,,r14,r14,r14,r14,r14,r14,r14,r14,,r14,r14,,,,r14,r14,,,r14,,r14,,,,,,,,,,,,,,,,,,,,
67,,r44,r44,r44,r44,,,,r44,r44,r44,r44,r44,r44,r44,r44,,r44,r44,,,,r44,r44,,,r44,,r44,,,,,,,,,,,,,,,,,,,,
68,,r6,,,,,,,,,,,,,,r6,,r6,,,,,r6,r6,,,,,,,,,,,,,,,,,,,,,,,,,
69,,r16,r16,r16,r16,,,,r16,r16,r16,r16,r16,r16,r16,r16,,r16,r16,,,,r16,r16,,,r16,,r16,,,,,,,,,,,,,,,,,,,,
